"","Var1","Freq"
"8","BOA VIAGEM",12
"18","CORDEIRO",11
"27","IMBIRIBEIRA",10
"41","SANTO AMARO",8
"37","PINA",7
"15","CASA FORTE",6
"1","AFOGADOS",5
"2","ÁGUA FRIA",5
"4","AREIAS",5
"9","BOA VISTA",5
"14","CASA AMARELA",5
"16","CAXANGÁ",5
"19","DERBY",5
"48","TORRÕES",5
"13","CAMPO GRANDE",4
