timestamp, DHT11_temp, DHT11_umidade, NTC_temp
1572039346,27,52,24.60
1572039347,27,52,24.60
1572039348,27,52,24.60
1572039349,27,52,24.60
1572039350,27,52,24.60
1572039351,27,52,24.60
1572039352,27,52,24.60
1572039353,27,52,24.60
1572039354,27,52,24.60
1572039355,27,51,24.60
1572039356,27,51,24.60
1572039357,27,51,24.60
1572039358,27,51,24.60
1572039359,27,51,24.60
1572039360,27,51,24.60
1572039361,27,51,24.60
1572039362,27,51,24.60
1572039363,27,51,24.51
1572039364,27,51,24.51
1572039365,27,51,24.60
1572039366,27,51,24.60
1572039367,27,51,24.60
1572039369,27,51,24.60
1572039370,27,51,24.60
1572039371,27,51,24.60
1572039372,27,51,24.60
1572039373,27,51,24.60
1572039374,27,51,24.60
1572039375,27,51,24.60
1572039376,27,51,24.60
1572039377,27,51,24.60
1572039378,27,51,24.60
1572039379,27,51,24.60
1572039380,27,51,24.51
1572039381,27,51,24.60
1572039382,27,51,24.60
1572039383,27,51,24.60
1572039384,27,51,24.60
1572039385,27,51,24.60
1572039386,27,51,24.60
1572039387,27,51,24.60
1572039388,27,51,24.60
1572039389,27,51,24.60
1572039390,27,51,24.60
1572039391,27,51,24.60
1572039392,27,51,24.60
1572039393,27,51,24.60
1572039394,27,51,24.60
1572039395,27,51,24.60
1572039396,27,51,24.60
1572039397,27,51,24.60
1572039398,27,51,24.60
1572039399,27,51,24.60
1572039400,27,51,24.60
1572039401,27,51,24.60
1572039402,27,51,24.60
1572039403,27,51,24.60
1572039404,27,51,24.60
1572039405,27,51,24.60
1572039406,27,51,24.69
1572039407,27,51,24.60
1572039408,27,51,24.60
1572039409,27,51,24.60
1572039411,27,51,24.60
1572039412,27,51,24.60
1572039413,27,51,24.60
1572039414,27,51,24.60
1572039415,27,51,24.60
1572039416,27,51,24.60
1572039417,27,51,24.60
1572039418,27,51,24.60
1572039419,27,51,24.60
1572039420,27,51,24.60
1572039421,27,51,24.60
1572039422,27,51,24.60
1572039423,27,51,24.60
1572039424,27,51,24.60
1572039425,27,51,24.60
1572039426,27,51,24.60
1572039427,27,51,24.60
1572039428,27,51,24.69
1572039429,27,51,24.60
1572039430,27,51,24.60
1572039431,27,51,24.60
1572039432,27,51,24.60
1572039433,27,51,24.60
1572039434,27,51,24.60
1572039435,27,51,24.60
1572039436,27,51,24.60
1572039437,27,51,24.60
1572039438,27,51,24.60
1572039439,27,51,24.60
1572039440,27,51,24.60
1572039441,27,51,24.60
1572039442,27,51,24.60
