"","code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008","iqb_pcr_2008","iqb_factor_2008"
"4699","SPmonte alto",353130,"3531308",0.768,"SP","monte alto","São Paulo",6.417337,5.762554,0,45719,0,45719,1,"Não","Feminino",0,"40",0.2486772,0.07951356,0.8080121,0.1028999,0,1,0,0,"SP","Monte Alto","monte alto","69802807.09",18.06118,0.9451281,0.7604899
"4700","SPmonte aprazivel",353140,"3531407",0.785,"SP","monte aprazivel","São Paulo",6.373746,6.092056,0,20789,0,20789,1,"Sim","Masculino",1,"69",0.4206349,0,0.8666667,0.08058608,0,0,0,1,"SP","Monte Aprazivel","monte aprazivel","34709875.5",17.36253,0.9666277,0.8505716
"4701","SPmonte azul paulista",353150,"3531506",0.753,"SP","monte azul paulista","São Paulo",6.354387,5.883072,0,19739,0,19739,1,"Não","Masculino",1,"69",0.2781955,0.08609272,0.8515038,0.06843267,0,0,0,1,"SP","Monte Azul Paulista","monte azul paulista","32256863.7",17.28924,0.9509327,0.7793619
"4702","SPmonte castelo",353160,"3531605",0.741,"SP","monte castelo","São Paulo",6.584266,6.337357,0,4130,0,4130,0,"Sim","Masculino",0,"60",0.367713,0,0.9372197,0.06698565,0,0,0,1,"SP","Monte Castelo","monte castelo","10925001.7",16.20656,0.9624055,0.8256052
"4703","SPmonte mor",353180,"3531803",0.733,"SP","monte mor","São Paulo",6.684024,4.568506,0,45811,1,45811,1,"Sim","Masculino",1,"39",0.1769547,0.3859416,0.6205761,0.1724138,1,0,0,0,"SP","Monte Mor","monte mor","83900196.61",18.24514,0.923912,0.7122625
"4704","SPmonteiro lobato",353170,"3531704",0.71,"SP","monteiro lobato","São Paulo",6.718482,4.649665,0,4235,0,4235,0,"Não","Masculino",1,"55",0.1451613,0,0.9354839,0.06896552,0,0,0,1,"SP","Monteiro Lobato","monteiro lobato","8361272.51",15.93912,0.9395567,0.7135373
"4705","SPmorro agudo",353190,"3531902",0.712,"SP","morro agudo","São Paulo",6.311172,5.845803,0,26245,1,26245,1,"Sim","Masculino",1,"44",0.4035088,0,0.9353647,0.02862784,0,1,0,0,"SP","Morro Agudo","morro agudo","62778302.47",17.95512,0.9693548,0.8481801
"4706","SPmorungaba",353200,"3532009",0.715,"SP","morungaba","São Paulo",6.682672,4.330339,1,12999,1,12999,1,"Não","Masculino",0,"44",0.2404494,0.09217877,0.8044944,0.1368715,0,0,0,1,"SP","Morungaba","morungaba","24015749.38",16.99422,0.9410381,0.7521323
"4707","SPmotuca",353205,"3532058",0.741,"SP","motuca","São Paulo",6.457319,5.617026,0,4618,0,4618,0,"Não","Masculino",1,"33",0.3192488,0.02873563,0.8169014,0.09195402,1,0,0,0,"SP","Motuca","motuca","13634035.14",16.42808,0.9545747,0.7979027
"4708","SPmurutinga do sul",353210,"3532108",0.726,"SP","murutinga do sul","São Paulo",6.520238,6.320229,0,4264,0,4264,1,"Sim","Masculino",1,"45",0.1007752,0,0.9844961,0.01574803,0,0,0,1,"SP","Murutinga do Sul","murutinga do sul","9512584.58",16.06813,0.9396143,0.6975985
"4709","SPnantes",353215,"3532157",0.714,"SP","nantes","São Paulo",6.728724,6.177467,0,2627,0,2627,0,"Não","Masculino",1,"47",0.195122,0.03424658,0.7121951,0.02054795,0,0,0,1,"SP","Nantes","nantes","10200407.47",16.13794,0.9479296,0.7440003
"4710","SPnarandiba",353220,"3532207",0.718,"SP","narandiba","São Paulo",6.71888,6.246494,0,4131,0,4131,0,"Não","Masculino",1,"42",0.2214286,0,0.9714286,0.02941176,0,1,0,0,"SP","Narandiba","narandiba","11878505.53",16.29024,0.950733,0.756592
"4711","SPnatividade da serra",353230,"3532306",0.655,"SP","natividade da serra","São Paulo",6.784299,4.814458,0,7613,0,7613,0,"Sim","Masculino",1,"62",0.2057613,0,0.9423868,0.05240175,0,0,0,1,"SP","Natividade da Serra","natividade da serra","12880223.59",16.3712,0.9471577,0.7459696
"4712","SPnazare paulista",353240,"3532405",0.678,"SP","nazare paulista","São Paulo",6.731627,3.863883,1,15168,0,15168,0,"Sim","Masculino",1,"60",0.2107728,0,0.9320843,0.07286432,0,0,0,1,"SP","Nazare Paulista","nazare paulista","20143115.23",16.81837,0.9459071,0.7460405
"4713","SPneves paulista",353250,"3532504",0.754,"SP","neves paulista","São Paulo",6.382121,6.064738,0,9102,0,9102,1,"Não","Masculino",1,"39",0.235,0,0.905,0.1049724,0,0,0,1,"SP","Neves Paulista","neves paulista","13805014.35",16.44054,0.9456122,0.7543743
