"code_merge","code_muni","code_muni2","IDHM","UF.x","municipio.x","Nome_UF","log_to_brasilia","log_to_capital","metropolitano","pop_2008","inova5","pop_2008.1","bur_consel_2008","cand_reelec_2008","cand_sex_2008","cand_esc_2008","cand_age_2008","bur_escol_2008","bur_terc_2008","bur_espel_2008","bur_polit_2008","alinhamento_estadual_2008","alinhamento_federal_2008","alinhamento_ambos_2008","n_alinhado_2008","UF.y","MUNICIPIO","municipio.y","rec_orcamento_2008","log_orcamento_2008"
"BAitambe",291580,"2915809",0.578,"BA","itambe","Bahia",6.66569645655477,5.83003326120553,0,35106,0,35106,0,"Sim","Masculino",0,"45",0.0754039497307002,0.00106044538706257,0.846499102333932,0.0901378579003181,0,0,0,1,"BA","Itambe","itambe","30164299.12",17.2221696347122
"BAitanagra",291590,"2915908",0.584,"BA","itanagra","Bahia",7.03518056723738,4.54052499249456,1,6841,0,6841,1,"Não","Masculino",0,"48",0.0519031141868512,0,0.86159169550173,0.160642570281124,0,0,0,1,"BA","Itanagra","itanagra","10682094.13",16.1840794518632
"BAitaparica",291610,"2916104",0.67,"BA","itaparica","Bahia",6.95373196522216,3.01602497682175,1,20641,0,20641,0,"Não","Masculino",0,"84",0.062953995157385,0.0411522633744856,0.588377723970944,0.181069958847737,0,0,0,1,"BA","Itaparica","itaparica","21975212.55",16.9054256738437
"BAitape",291620,"2916203",0.599,"BA","itape","Bahia",6.82180515684413,5.46255980994209,0,11013,0,11013,1,"Não","Masculino",0,"49",0.0961810466760962,0.05893536121673,0.743988684582744,0.05893536121673,0,0,0,1,"BA","Itape","itape","11581118.84",16.2648866437493
"BAitapetinga",291640,"2916401",0.667,"BA","itapetinga","Bahia",6.71555306890748,5.75266787238601,0,65904,0,65904,0,"Não","Masculino",0,"58",0.049002849002849,0.00159362549800797,0.715099715099715,0.124302788844622,0,0,0,1,"BA","Itapetinga","itapetinga","61445877.8",17.9336673095456
"BAitapicuru",291650,"2916500",0.486,"BA","itapicuru","Bahia",7.05569240891426,5.22778760035751,0,32100,0,32100,0,"Não","Masculino",0,"50",0.15365025466893,0,0.912563667232598,0.0958139534883721,0,0,0,1,"BA","Itapicuru","itapicuru","27905249.08",17.1443253681638
"BAitapitanga",291660,"2916609",0.571,"BA","itapitanga","Bahia",6.81402684755402,5.28609295192531,0,10385,0,10385,1,"Sim","Masculino",0,"46",0.147509578544061,0.0381165919282511,0.854406130268199,0.100896860986547,0,0,0,1,"BA","Itapitanga","itapitanga","10486951.65",16.1656423423358
"BAitaquara",291670,"2916708",0.553,"BA","itaquara","Bahia",6.79976909705538,5.0982798039483,0,7761,0,7761,0,"Sim","Masculino",0,"73",0.0465116279069767,0.0236486486486486,0.625792811839323,0.0810810810810811,0,0,0,1,"BA","Itaquara","itaquara","8754020.84",15.9850236773561
"BAitarantim",291680,"2916807",0.61,"BA","itarantim","Bahia",6.73553057695966,5.83694296517171,0,18254,0,18254,0,"Sim","Masculino",0,"67",0.0892857142857143,0.00576923076923077,0.663265306122449,0.113461538461538,0,0,0,1,"BA","Itarantim","itarantim","18723853.59",16.7453088619953
"BAitatim",291685,"2916856",0.582,"BA","itatim","Bahia",6.85685138245361,4.88181658881961,0,15266,0,15266,0,"Não","Feminino",0,"47",0,0.0232558139534884,0.309798270893372,0.0511627906976744,0,0,0,1,"BA","Itatim","itatim","16547718.27",16.6217587814004
