DHT11_temp, DHT11_umidade, NTC_temp
27,52,24.87
27,52,24.96
27,52,24.96
27,52,24.87
27,52,24.87
27,52,24.87
27,52,24.96
27,52,24.96
27,52,24.96
27,52,24.87
27,52,24.87
27,52,24.87
27,52,24.87
27,52,24.87
27,52,24.96
27,52,24.87
27,52,24.87
27,52,24.87
27,52,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.78
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.87
27,53,24.78
27,53,24.78
27,53,24.78
27,53,24.78
27,53,24.87
27,52,24.87
27,52,24.87
27,52,24.78
27,52,24.87
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.87
27,52,24.87
27,52,24.87
27,52,24.78
27,52,24.87
27,52,24.78
27,52,24.87
27,52,24.78
27,52,24.87
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.78
27,52,24.87